time,open,high,low,close,volume
2020-02-29 09:01:00,228.7,228.76,228.47,228.47,47.82685139
2020-02-29 09:00:00,228.78,228.78,228.69,228.69,26.48834237
2020-02-29 08:59:00,228.77,228.78,228.77,228.78,39.74990412
2020-02-29 08:58:00,228.78,228.78,228.78,228.78,0.92322604
2020-02-29 08:57:00,228.56,228.75,228.56,228.72,7.5713052
2020-02-29 08:56:00,228.75,228.75,228.57,228.57,3.19125746
2020-02-29 08:55:00,228.93,228.94,228.84,228.88,72.2265521
2020-02-29 08:54:00,228.75,228.79,228.74,228.79,5.27627642
2020-02-29 08:53:00,228.74,228.75,228.74,228.75,1.32438522
2020-02-29 08:52:00,228.61,228.74,228.61,228.74,12.69864135
2020-02-29 08:51:00,228.6,228.6,228.59,228.6,3.55558634
2020-02-29 08:50:00,228.5,228.64,228.5,228.6,0.43269372
2020-02-29 08:49:00,228.42,228.42,228.41,228.42,46.30735956
2020-02-29 08:48:00,228.53,228.57,228.52,228.56,4.2054759
2020-02-29 08:47:00,228.79,228.79,228.35,228.53,24.93861126
2020-02-29 08:46:00,228.65,228.84,228.65,228.84,17.43371781
2020-02-29 08:45:00,228.46,228.65,228.32,228.65,15.1058947
2020-02-29 08:44:00,228.62,228.62,228.42,228.47,13.05592061
2020-02-29 08:43:00,228.75,228.75,228.63,228.63,5.55544994
2020-02-29 08:42:00,228.76,228.76,228.75,228.75,13.64060198
2020-02-29 08:41:00,229.23,229.23,228.82,228.82,20.9844937
2020-02-29 08:40:00,229.24,229.24,229.23,229.24,4.48518867
2020-02-29 08:39:00,229.18,229.29,229.18,229.24,6.40663769
2020-02-29 08:38:00,228.79,229.18,228.79,229.18,14.24945223
2020-02-29 08:37:00,229.1,229.1,228.98,228.98,2.02449415
2020-02-29 08:36:00,229.05,229.1,229.05,229.07,13.20654477
2020-02-29 08:35:00,228.76,229.08,228.76,229.07,51.64676867
2020-02-29 08:34:00,228.6,228.76,228.6,228.75,9.58402925
2020-02-29 08:33:00,228.6,228.6,228.6,228.6,1.87625904
2020-02-29 08:32:00,228.56,228.62,228.32,228.62,189.64552535
2020-02-29 08:31:00,228.66,228.66,228.66,228.66,0.01
2020-02-29 08:30:00,229.06,229.06,228.79,228.86,9.57205199
2020-02-29 08:29:00,229.1,229.1,228.96,229.05,0.29474762
2020-02-29 08:28:00,229.24,229.32,229.15,229.15,36.77930387
2020-02-29 08:27:00,229.07,229.34,229.07,229.24,4.04518195
2020-02-29 08:26:00,228.83,229.07,228.82,228.97,4.96285016
2020-02-29 08:25:00,228.94,228.94,228.75,228.87,15.58206681
2020-02-29 08:24:00,229.12,229.12,228.8,228.8,12.0884423
2020-02-29 08:23:00,229.55,229.55,229.2,229.2,3.4390158
2020-02-29 08:22:00,229.99,229.99,229.58,229.59,11.76934586
2020-02-29 08:21:00,229.8,230,229.8,230,11.93585518
2020-02-29 08:20:00,229.82,229.82,229.72,229.72,4.76868421
2020-02-29 08:19:00,229.71,229.93,229.71,229.82,48.21454082
2020-02-29 08:18:00,230.14,230.14,229.72,229.72,1.8178301
2020-02-29 08:17:00,230.17,230.17,230.11,230.16,1.77993195
2020-02-29 08:16:00,230.27,230.27,230.09,230.12,0.26145376
2020-02-29 08:15:00,230.27,230.28,230.17,230.28,3.95571866
2020-02-29 08:14:00,230.02,230.28,230.02,230.28,26.10587111
2020-02-29 08:13:00,229.92,230.16,229.92,230.16,37.76134522
2020-02-29 08:12:00,229.55,229.82,229.55,229.56,3.56102499
2020-02-29 08:11:00,229.5,229.5,229.44,229.5,11.30145278
2020-02-29 08:10:00,229.77,229.77,229.5,229.56,17.20207055
2020-02-29 08:09:00,229.56,229.78,229.56,229.78,8.22941463
2020-02-29 08:08:00,229.34,229.65,229.34,229.58,3.80762548
2020-02-29 08:07:00,229.56,229.56,229.31,229.31,0.13281508
2020-02-29 08:06:00,229.59,229.59,229.48,229.48,0.49831522
2020-02-29 08:05:00,230.09,230.15,229.57,229.6,63.30909264
2020-02-29 08:04:00,230.09,230.09,230.09,230.09,0.48613648
2020-02-29 08:03:00,230.37,230.37,230.09,230.09,1.3561554
2020-02-29 08:02:00,230.11,230.38,230.11,230.36,5.77869055
2020-02-29 08:01:00,229.95,230.16,229.9,230.16,5.66143277
2020-02-29 08:00:00,229.57,229.88,229.57,229.88,15.48909908
2020-02-29 07:59:00,229.98,230.06,229.72,229.73,65.55636108
2020-02-29 07:58:00,229.57,229.95,229.5,229.95,121.45438508
2020-02-29 07:57:00,229.38,229.43,229.38,229.43,10.87278597
2020-02-29 07:56:00,229.26,229.48,229.24,229.48,1.41967552
2020-02-29 07:55:00,228.86,229.31,228.86,229.27,51.26896129
2020-02-29 07:54:00,228.72,228.84,228.63,228.84,60.06088035
2020-02-29 07:53:00,228.73,228.91,228.61,228.78,7.63034623
2020-02-29 07:52:00,228.78,228.88,228.78,228.87,1.05247673
2020-02-29 07:51:00,228.64,228.8,228.63,228.77,24.33738224
2020-02-29 07:50:00,228.63,228.63,228.43,228.43,10.19697487
2020-02-29 07:49:00,228.66,228.66,228.63,228.63,8.22134613
2020-02-29 07:48:00,228.63,228.69,228.63,228.66,6.27923882
2020-02-29 07:47:00,228.51,228.86,228.51,228.7,12.05617205
2020-02-29 07:46:00,228.9,228.94,228.51,228.51,22.93935348
2020-02-29 07:45:00,229.11,229.11,228.93,228.98,9.39654555
2020-02-29 07:44:00,229.05,229.23,229.05,229.11,53.61188343
2020-02-29 07:43:00,229.01,229.01,228.7,228.86,21.01790916
2020-02-29 07:42:00,229.08,229.28,229.07,229.09,20.10451667
2020-02-29 07:41:00,228.63,229.22,228.63,229.16,82.24655165
2020-02-29 07:40:00,228.16,228.63,228.16,228.63,2.71528826
2020-02-29 07:39:00,227.97,228.14,227.97,228.14,1.4020026
